sn,,stock_name,stock_symbol,sector,operations
250,Logo Unavailable,SHIVAM CEMENTS LTD,SHIVM,Manufacturing And Processing,View
251,Logo Unavailable,Shree Bhrikuti Pulp And Paper Limited,SBPP,Manufacturing And Processing,View
252,Logo Unavailable,Shree Investment Finance Co. Ltd.,SIFC,Finance,View
253,Logo Unavailable,Shree Ram Sugar Mills Limited,SRS,Manufacturing And Processing,View
254,Logo Unavailable,Shrijana Finance  (Bittaya Sanstha),SFFIL,Finance,View
255,Logo Unavailable,Siddhartha Bank Limited,SBL,Commercial Banks,View
256,Logo Unavailable,Siddhartha Equity Fund,SEF,Mutual Fund,View
257,Logo Unavailable,Siddhartha Equity Orineted Scheme,SEOS,Mutual Fund,View
258,,Siddhartha Insurance Ltd.,SIL,Non Life Insurance,View
259,Logo Unavailable,Siddhartha Investment Growth Scheme - 2,SIGS2,Mutual Fund,View
260,,Sindhu Bikash Bank Ltd,SINDU,Development Banks,View
261,Logo Unavailable,Singati Hydro Energy Limited,SHEL,Hydro Power,View
262,,Soaltee Hotel Limited,SHL,Hotels,View
263,,Sparsha Laghubitta Bittiya Sanstha Limited,SPARS,Microfinance,View
264,,Standard Chartered Bank Limited,SCB,Commercial Banks,View
265,,Summit Laghubitta Bittiya Sanstha Limited,SMFDB,Microfinance,View
266,Logo Unavailable,Sunrise Bank Limited,SRBL,Commercial Banks,View
267,Logo Unavailable,Sunrise Bluechip Fund,SBCF,Mutual Fund,View
268,Logo Unavailable,Sunrise First Mutual Fund,SFMF,Mutual Fund,View
269,,Support Microfinance Bittiya Sanstha Ltd.,SMB,Microfinance,View
270,Logo Unavailable,Surya Life Insurance Company Limited,SLICL,Life Insurance,View
271,Logo Unavailable,Suryodaya Laghubitta Bittiya Sanstha Ltd.,SLBS,Microfinance,View
272,,Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,Microfinance,View
273,,Swabhimaan Laghubitta Bittiya Sanstha Limited,SMFBS,Microfinance,View
274,,Swadeshi Laghubitta Bittiya Sanstha Ltd.,SDESI,Microfinance,View
275,,Swarojgar Laghu Bitta Bikas Bank Ltd.,SLBBL,Microfinance,View
276,Logo Unavailable,Synergy Finance Ltd.,SYFL,Finance,View
277,,Synergy Power Development Ltd.,SPDL,Hydro Power,View
278,Logo Unavailable,Taragaon Regency Hotel Limited,TRH,Hotels,View
279,,Tinau Mission Development Bank Limited,TMDBL,Development Banks,View
280,Logo Unavailable,Unilever Nepal Limited,UNL,Manufacturing And Processing,View
281,Logo Unavailable,Union Hydropower Limited,UNHPL,Hydro Power,View
282,Logo Unavailable,United Finance Ltd.,UFL,Finance,View
283,Logo Unavailable,United IDI Mardi RB Hydropower Limited.,UMRH,Hydro Power,View
284,,United Insurance Co. (Nepal) Ltd.,UIC,Non Life Insurance,View
285,,United Modi Hydropower Ltd.,UMHL,Hydro Power,View
286,Logo Unavailable,UNIVERSAL POWER COMPANY LTD,UPCL,Hydro Power,View
287,Logo Unavailable,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,Microfinance,View
288,,Upper Tamakoshi Hydropower Ltd,UPPER,Hydro Power,View
289,,Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,Microfinance,View
290,Logo Unavailable,Womi Microfinance Bittiya Sanstha Ltd.,WOMI,Microfinance,View
291,Logo Unavailable,Yak And Yeti Hotel Limited,YHL,Hotels,View
